y,b,media_estrategias_mantidas,std_estrategias_mantidas
15,42,1.86,0.348735088019777
16,1,2.0,0.0
16,2,2.0,0.0
16,3,2.0,0.0
16,4,1.0,0.0
16,5,1.0,0.0
17,1,2.0,0.0
17,2,2.0,0.0
17,3,2.0,0.0
17,4,1.0,0.0
17,5,1.0,0.0
18,1,2.0,0.0
18,2,2.0,0.0
18,3,2.0,0.0
18,4,1.0,0.0
18,5,1.0,0.0
19,1,2.0,0.0
19,2,2.0,0.0
19,3,2.0,0.0
19,4,2.0,0.0
19,5,2.0,0.0
20,1,2.0,0.0
20,2,2.0,0.0
20,3,2.0,0.0
20,4,1.0,0.0
20,5,1.0,0.0
16,6,1.0,0.0
16,7,1.0,0.0
16,8,1.0,0.0
16,9,1.06,0.238683256575942
16,10,1.0,0.0
17,6,1.0,0.0
17,7,1.0,0.0
17,8,1.0,0.0
17,9,1.0,0.0
17,10,1.0,0.0
18,6,1.0,0.0
18,7,1.0,0.0
18,8,1.0,0.0
18,9,1.0,0.0
18,10,1.0,0.0
19,6,2.0,0.0
19,7,2.0,0.0
19,8,2.0,0.0
19,9,1.0,0.0
19,10,1.0,0.0
20,6,1.01,0.1
20,7,1.01,0.1
20,8,1.01,0.1
20,9,1.0,0.0
20,10,1.0,0.0
16,11,1.0,0.0
16,12,1.02,0.1999999999999999
16,13,1.01,0.1
16,14,1.09,0.3208259542638234
16,15,1.34,0.4760952285695233
17,11,1.0,0.0
17,12,1.0,0.0
17,13,1.03,0.2227015033536136
17,14,1.15,0.3859920970562727
17,15,1.41,0.5143398239932959
18,11,1.0,0.0
18,12,1.0,0.0
18,13,1.02,0.1407052941362897
18,14,1.04,0.1969463855669323
18,15,1.27,0.4461960433384738
19,11,1.0,0.0
19,12,1.0,0.0
19,13,1.0,0.0
19,14,1.03,0.2227015033536136
19,15,1.19,0.3942772444036626
20,11,1.0,0.0
20,12,1.0,0.0
20,13,1.0,0.0
20,14,1.07,0.2931886695621029
20,15,1.15,0.3859920970562726
16,16,1.09,0.2876234912646614
16,17,1.0,0.0
16,18,1.0,0.0
16,19,2.12,0.3265986323710902
16,20,1.68,0.9521904571390468
17,16,1.11,0.3144660377352201
17,17,1.02,0.1999999999999999
17,18,1.04,0.2814105882725793
17,19,2.15,0.3588702812826367
17,20,1.91,0.9959006887326576
18,16,1.15,0.3588702812826366
18,17,1.02,0.1999999999999999
18,18,1.04,0.2814105882725794
18,19,2.2,0.4020151261036848
18,20,1.96,1.0042334631373566
19,16,1.1,0.3015113445777636
19,17,1.02,0.1999999999999999
19,18,1.06,0.3428932159955307
19,19,2.25,0.4351941398892446
19,20,2.18,0.9886221408474206
20,16,1.12,0.3561863092100633
20,17,1.06,0.3428932159955306
20,18,1.08,0.3938927711338647
20,19,2.25,0.4351941398892446
20,20,1.93,0.9975221827360556
16,21,2.29,0.4560480215720687
16,22,2.21,0.4093601807403323
16,23,2.37,0.4852365870939097
16,24,2.21,0.4093601807403323
16,25,2.0,0.0
17,21,2.6,0.4923659639173309
17,22,2.51,0.5024183937956914
17,23,2.63,0.4852365870939099
17,24,2.68,0.4688261722621507
17,25,2.0,0.0
18,21,2.8,0.4020151261036849
18,22,2.8,0.4020151261036847
18,23,2.93,0.2564323999762428
18,24,2.97,0.1714466079977652
18,25,2.0,0.0
19,21,2.94,0.238683256575942
19,22,2.97,0.1714466079977653
19,23,2.99,0.1
19,24,3.0,0.0
19,25,2.04,0.1969463855669324
20,21,2.93,0.2564323999762428
20,22,3.0,0.0
20,23,3.0,0.0
20,24,3.0,0.0
20,25,2.79,0.4093601807403322
16,26,2.0,0.0
16,27,2.0,0.0
16,28,2.0,0.0
16,29,2.0,0.0
16,30,2.0,0.0
17,26,2.0,0.0
17,27,2.0,0.0
17,28,2.0,0.0
17,29,2.0,0.0
17,30,2.0,0.0
18,26,2.0,0.0
18,27,2.0,0.0
18,28,2.0,0.0
18,29,2.0,0.0
18,30,2.0,0.0
19,26,2.0,0.0
19,27,2.0,0.0
19,28,2.0,0.0
19,29,2.0,0.0
19,30,2.0,0.0
20,26,2.05,0.2190429135575904
20,27,2.0,0.0
20,28,2.0,0.0
20,29,2.0,0.0
20,30,2.0,0.0
16,31,2.0,0.0
16,32,1.99,0.0999999999999999
16,33,1.97,0.1714466079977653
16,34,1.88,0.3265986323710904
16,35,1.83,0.3775251680686369
17,31,2.0,0.0
17,32,2.0,0.0
17,33,1.97,0.1714466079977653
17,34,1.89,0.3144660377352201
17,35,1.83,0.3775251680686369
18,31,2.0,0.0
18,32,2.0,0.0
18,33,1.97,0.1714466079977653
18,34,1.9,0.3015113445777636
18,35,1.88,0.3265986323710903
19,31,2.0,0.0
19,32,2.0,0.0
19,33,1.98,0.1407052941362896
19,34,1.92,0.2726599243442907
19,35,1.88,0.3265986323710903
20,31,2.0,0.0
20,32,2.0,0.0
20,33,1.98,0.1407052941362896
20,34,1.94,0.2386832565759419
20,35,1.89,0.3144660377352202
16,36,1.68,0.4688261722621507
16,37,1.72,0.451260859854213
16,38,1.83,0.3775251680686369
16,39,1.85,0.3588702812826367
16,40,1.86,0.348735088019777
17,36,1.7,0.4605661864718383
17,37,1.73,0.4461960433384737
17,38,1.85,0.3588702812826367
17,39,1.85,0.3588702812826367
17,40,1.87,0.3379976689896312
18,36,1.71,0.4560480215720687
18,37,1.73,0.4461960433384737
18,38,1.86,0.348735088019777
18,39,1.87,0.3379976689896312
18,40,1.87,0.3379976689896312
19,36,1.74,0.4408440022768081
19,37,1.76,0.4292346959909279
19,38,1.89,0.3144660377352202
19,39,1.89,0.3144660377352202
19,40,1.9,0.3015113445777636
20,36,1.77,0.4229525846816507
20,37,1.78,0.4163331998932266
20,38,1.89,0.3144660377352202
20,39,1.9,0.3015113445777636
20,40,1.91,0.2876234912646614
