y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
14,3,1.0,0.0,0.99
14,4,1.0,0.0,0.0
14,5,1.0,0.0,0.0
15,1,1.0,0.0,1.0
15,2,1.0,0.0,1.0
15,3,1.0,0.0,1.0
15,4,1.0,0.0,0.0
15,5,1.0,0.0,0.0
11,6,0.99,1.0,0.99
11,7,0.99,1.0,0.99
11,8,0.99,1.0,0.99
11,9,1.0,1.0,1.0
11,10,1.0,1.0,1.0
12,6,0.75,0.59,0.35
12,7,0.77,0.59,0.36
12,8,0.77,0.59,0.36
12,9,0.68,0.99,0.67
12,10,0.83,1.0,0.83
13,6,0.99,0.02,0.01
13,7,0.99,0.01,0.01
13,8,0.99,0.01,0.01
13,9,0.73,0.35,0.08
13,10,0.27,0.94,0.21
14,6,1.0,0.0,0.0
14,7,1.0,0.0,0.0
14,8,1.0,0.0,0.0
14,9,0.99,0.03,0.02
14,10,0.75,0.28,0.03
15,6,1.0,0.0,0.0
15,7,1.0,0.0,0.0
15,8,1.0,0.0,0.0
15,9,1.0,0.0,0.0
15,10,0.96,0.04,0.0
11,11,0.99,1.0,0.99
11,12,0.81,0.99,0.82
11,13,0.27,1.0,0.27
11,14,0.01,1.0,0.01
11,15,0.0,1.0,0.0
12,11,0.86,1.0,0.86
12,12,0.64,0.99,0.63
12,13,0.18,0.99,0.19
12,14,0.02,1.0,0.02
12,15,0.0,1.0,0.0
13,11,0.36,1.0,0.36
13,12,0.24,1.0,0.24
13,13,0.14,1.0,0.14
13,14,0.03,1.0,0.03
13,15,0.02,1.0,0.02
14,11,0.23,0.82,0.05
14,12,0.12,0.97,0.09
14,13,0.06,1.0,0.06
14,14,0.04,1.0,0.01
14,15,0.03,1.0,0.01
15,11,0.82,0.18,0.0
15,12,0.48,0.53,0.01
15,13,0.13,0.87,0.0
15,14,0.13,0.93,0.01
15,15,0.29,0.93,0.0
11,16,0.0,1.0,0.0
11,17,0.0,1.0,0.0
